trade_id,trade_date,day_of_week,trade_time,market_cap_bucket,industry,return_pct,win_loss
1,1/2/2024,Tuesday,9:35,SME,Retail,-1.25,0
2,1/2/2024,Tuesday,10:15,Large,Banking,0.85,1
3,1/3/2024,Wednesday,11:00,Medium,Property,-0.4,0
4,1/3/2024,Wednesday,14:20,Large,Technology,1.75,1
5,1/4/2024,Thursday,9:50,SME,Energy,-2.1,0
6,1/4/2024,Thursday,13:10,Medium,Retail,0.6,1
7,1/5/2024,Friday,15:30,SME,Property,-1.9,0
8,1/5/2024,Friday,10:40,Large,Banking,0.45,1
9,1/8/2024,Monday,9:40,SME,Technology,-1.5,0
10,1/8/2024,Monday,14:50,Medium,Energy,-0.3,0
11,1/9/2024,Tuesday,11:25,Large,Retail,1.2,1
12,1/9/2024,Tuesday,15:10,SME,Banking,-2.3,0
13,1/10/2024,Wednesday,10:05,Medium,Technology,0.95,1
14,1/10/2024,Wednesday,13:40,SME,Property,-1.1,0
15,1/11/2024,Thursday,9:45,Large,Energy,0.7,1
16,1/11/2024,Thursday,14:30,Medium,Banking,-0.55,0
17,1/12/2024,Friday,10:20,SME,Retail,-1.8,0
18,1/12/2024,Friday,15:40,Large,Technology,2.1,1
19,1/15/2024,Monday,9:50,Medium,Property,-0.65,0
20,1/15/2024,Monday,13:00,Large,Banking,0.9,1
21,1/16/2024,Tuesday,10:35,SME,Energy,-1.35,0
22,1/16/2024,Tuesday,14:45,Medium,Retail,0.4,1
23,1/17/2024,Wednesday,9:55,SME,Banking,-2,0
24,1/17/2024,Wednesday,11:50,Large,Property,1.1,1
25,1/18/2024,Thursday,13:25,Medium,Technology,0.8,1
26,1/18/2024,Thursday,15:15,SME,Retail,-1.6,0
27,1/19/2024,Friday,10:10,Large,Energy,0.55,1
28,1/19/2024,Friday,14:55,Medium,Banking,-0.75,0
29,1/22/2024,Monday,9:45,SME,Property,-1.95,0
30,1/22/2024,Monday,11:35,Large,Technology,1.65,1
31,1/23/2024,Tuesday,10:00,Medium,Retail,0.35,1
32,1/23/2024,Tuesday,15:20,SME,Energy,-1.7,0
33,1/24/2024,Wednesday,9:40,SME,Banking,-2.4,0
34,1/24/2024,Wednesday,14:10,Large,Property,1.3,1
35,1/25/2024,Thursday,10:30,Medium,Technology,0.75,1
36,1/25/2024,Thursday,15:35,SME,Retail,-1.85,0
37,1/26/2024,Friday,11:15,Large,Banking,0.95,1
38,1/26/2024,Friday,14:50,Medium,Energy,-0.9,0
39,1/29/2024,Monday,9:55,SME,Technology,-1.55,0
40,1/29/2024,Monday,13:45,Large,Retail,1.05,1
41,1/30/2024,Tuesday,10:25,Medium,Property,-0.6,0
42,1/30/2024,Tuesday,15:05,SME,Banking,-2.15,0
43,1/31/2024,Wednesday,11:40,Large,Energy,0.65,1
44,1/31/2024,Wednesday,14:35,Medium,Retail,0.5,1
45,2/1/2024,Thursday,9:45,SME,Property,-1.45,0
46,2/1/2024,Thursday,13:20,Large,Technology,1.9,1
47,2/2/2024,Friday,10:15,Medium,Banking,0.7,1
48,2/2/2024,Friday,15:30,SME,Energy,-1.65,0
49,2/5/2024,Monday,9:35,SME,Retail,-2.05,0
50,2/5/2024,Monday,14:00,Large,Property,1.25,1
51,2/6/2024,Tuesday,9:40,SME,Banking,-1.9,0
52,2/6/2024,Tuesday,11:10,Large,Technology,1.6,1
